key,outcome,redirect_hint,reasons,skipped_gates
/airlines/AA,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/2267/ATL-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/271/ORD-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/483/DEN-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/699/ATL-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/731/ORD-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/760/LGA-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/796/SFO-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/1337/SFO-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/2607/ATL-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/2701/SFO-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/2949/ATL-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/2990/LGA-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/492/ATL-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/632/ATL-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/652/ATL-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/763/ATL-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/829/ORD-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/DL/829/ORD-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1118/ATL-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1187/ORD-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/131/ORD-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1322/ATL-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1551/BOS-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1570/ORD-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1599/ATL-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1627/ORD-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1727/LGA-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1777/ORD-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/1777/SFO-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/2654/ORD-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/2995/BOS-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/626/BOS-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/UA/807/SFO-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/1062/ATL-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/1211/LGA-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/1650/DEN-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/1720/DEN-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/176/ORD-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/1884/ORD-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/1935/ORD-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/2024/LGA-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/2601/DEN-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/2791/SFO-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/388/LGA-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/WN/874/ORD-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ATL-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ATL-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ATL-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ATL-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ATL-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/BOS-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/BOS-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/DEN-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/DEN-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/LGA-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/LGA-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ORD-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ORD-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ORD-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ORD-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/ORD-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/SFO-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/routes/SFO-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
